count_collected_demos: 216956
len_dataset: 216956
max distance value: 214.90545654296875
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
decode_indices shape: (895,)
first_targets shape: (16, 90, 257152)
input_token_embeddings shape: (16, 3460, 2048)
attn_mask shape: (16, 3460, 3460)
loss_mask shape: (16, 179)
targets shape: (16, 179, 257152)
pre_logits shape: (16, 3459, 2048)
logits shape: (16, 179, 257152)
new_logits shape: (16, 179, 257152)
logp shape: (16, 179, 257152)
token_pplx shape: (16, 179)
loss shape: (16,)
Step 66: grad_norm=11.569951057434082, loss=4.416524887084961, param_norm=1665.1776123046875
Step 67: grad_norm=11.153759956359863, loss=4.256608963012695, param_norm=1665.1776123046875
Step 68: grad_norm=10.41816234588623, loss=4.389494895935059, param_norm=1665.1776123046875
Step 69: grad_norm=11.480889320373535, loss=4.351548194885254, param_norm=1665.1776123046875
Step 70: grad_norm=11.562676429748535, loss=4.355384826660156, param_norm=1665.1776123046875
Step 71: grad_norm=10.331698417663574, loss=4.406805515289307, param_norm=1665.1776123046875
Step 72: grad_norm=10.41635799407959, loss=4.301119804382324, param_norm=1665.1776123046875
Step 73: grad_norm=10.771659851074219, loss=4.327003479003906, param_norm=1665.1776123046875
Step 74: grad_norm=13.690049171447754, loss=4.280189037322998, param_norm=1665.177734375
Step 75: grad_norm=10.028918266296387, loss=4.315971374511719, param_norm=1665.177734375
Step 76: grad_norm=8.019036293029785, loss=4.230011463165283, param_norm=1665.177734375
Step 77: grad_norm=8.605690002441406, loss=4.253355979919434, param_norm=1665.177734375
Step 78: grad_norm=10.496749877929688, loss=4.276540279388428, param_norm=1665.177734375
Step 79: grad_norm=8.365814208984375, loss=4.207452774047852, param_norm=1665.177734375
Step 80: grad_norm=9.117196083068848, loss=4.178370475769043, param_norm=1665.177734375
Step 81: grad_norm=7.99531364440918, loss=4.204877853393555, param_norm=1665.177734375
Step 82: grad_norm=8.523540496826172, loss=4.12560510635376, param_norm=1665.177734375
Step 83: grad_norm=13.942768096923828, loss=4.356311798095703, param_norm=1665.177734375
Step 84: grad_norm=8.099751472473145, loss=4.271812438964844, param_norm=1665.1778564453125
Step 85: grad_norm=13.890783309936523, loss=4.305161476135254, param_norm=1665.1778564453125
Step 86: grad_norm=10.897941589355469, loss=4.245149612426758, param_norm=1665.1778564453125
Step 87: grad_norm=15.366153717041016, loss=4.04554557800293, param_norm=1665.1778564453125
Step 88: grad_norm=7.547248363494873, loss=4.191850185394287, param_norm=1665.1778564453125
Step 89: grad_norm=8.034602165222168, loss=4.12588357925415, param_norm=1665.1778564453125
Step 90: grad_norm=12.038156509399414, loss=4.220784664154053, param_norm=1665.1778564453125
Step 91: grad_norm=15.81088924407959, loss=3.7867226600646973, param_norm=1665.177978515625
Step 92: grad_norm=12.306035041809082, loss=4.171999931335449, param_norm=1665.177978515625
Step 93: grad_norm=8.234354019165039, loss=4.1268630027771, param_norm=1665.1781005859375
Step 94: grad_norm=16.084781646728516, loss=4.207972526550293, param_norm=1665.1781005859375
Step 95: grad_norm=9.079278945922852, loss=4.185531139373779, param_norm=1665.1781005859375
Step 96: grad_norm=9.285318374633789, loss=4.061413764953613, param_norm=1665.1781005859375
Step 97: grad_norm=14.507704734802246, loss=4.103955268859863, param_norm=1665.1781005859375
Step 98: grad_norm=14.318843841552734, loss=4.1815996170043945, param_norm=1665.1781005859375
Step 99: grad_norm=10.964385986328125, loss=4.163838863372803, param_norm=1665.1781005859375
Step 100: grad_norm=10.819588661193848, loss=4.21769905090332, param_norm=1665.1781005859375
Step 101: grad_norm=11.57209300994873, loss=4.0587873458862305, param_norm=1665.17822265625
Step 102: grad_norm=14.03943157196045, loss=4.100964546203613, param_norm=1665.17822265625
Step 103: grad_norm=12.696849822998047, loss=3.9902546405792236, param_norm=1665.17822265625
Step 104: grad_norm=8.177392959594727, loss=4.037192344665527, param_norm=1665.17822265625
Step 105: grad_norm=13.657917976379395, loss=4.060288429260254, param_norm=1665.1783447265625
Step 106: grad_norm=9.284831047058105, loss=4.092291831970215, param_norm=1665.1783447265625
Step 107: grad_norm=11.96429443359375, loss=4.237782955169678, param_norm=1665.1783447265625
Step 108: grad_norm=8.35020637512207, loss=4.171788215637207, param_norm=1665.1783447265625
Step 109: grad_norm=10.059561729431152, loss=4.143278121948242, param_norm=1665.1783447265625
Step 110: grad_norm=12.554426193237305, loss=4.080804347991943, param_norm=1665.178466796875
Step 111: grad_norm=7.6164727210998535, loss=4.128790378570557, param_norm=1665.178466796875
Step 112: grad_norm=11.176376342773438, loss=3.9563980102539062, param_norm=1665.178466796875
Step 113: grad_norm=14.331308364868164, loss=3.9909708499908447, param_norm=1665.178466796875
Step 114: grad_norm=19.027584075927734, loss=4.013462066650391, param_norm=1665.178466796875
Step 115: grad_norm=15.082456588745117, loss=3.998645305633545, param_norm=1665.178466796875
Step 116: grad_norm=13.216582298278809, loss=4.136989593505859, param_norm=1665.1785888671875
Step 117: grad_norm=11.430948257446289, loss=3.9851632118225098, param_norm=1665.1785888671875
Step 118: grad_norm=8.857059478759766, loss=4.060788631439209, param_norm=1665.1785888671875
Step 119: grad_norm=8.085906028747559, loss=3.9847660064697266, param_norm=1665.1787109375
Step 120: grad_norm=8.030455589294434, loss=4.129368782043457, param_norm=1665.1788330078125
Step 121: grad_norm=15.378381729125977, loss=3.9796032905578613, param_norm=1665.1788330078125
Step 122: grad_norm=11.742487907409668, loss=3.997954845428467, param_norm=1665.1788330078125
Step 123: grad_norm=9.62200927734375, loss=4.122385501861572, param_norm=1665.1788330078125
Step 124: grad_norm=7.747994422912598, loss=4.081965446472168, param_norm=1665.178955078125
Step 125: grad_norm=8.684242248535156, loss=3.7347803115844727, param_norm=1665.178955078125
Step 126: grad_norm=7.060227394104004, loss=4.15416955947876, param_norm=1665.178955078125
Step 127: grad_norm=7.158819198608398, loss=4.050559997558594, param_norm=1665.1790771484375
Step 128: grad_norm=9.700396537780762, loss=3.8815736770629883, param_norm=1665.1790771484375
Step 129: grad_norm=16.750268936157227, loss=3.991513729095459, param_norm=1665.1790771484375
Step 130: grad_norm=14.487435340881348, loss=4.077213287353516, param_norm=1665.1790771484375
Step 131: grad_norm=10.23310375213623, loss=3.8022475242614746, param_norm=1665.17919921875
Step 132: grad_norm=11.695734024047852, loss=3.829824924468994, param_norm=1665.17919921875
Step 133: grad_norm=7.757734775543213, loss=4.147583961486816, param_norm=1665.17919921875
Step 134: grad_norm=9.524965286254883, loss=3.888401508331299, param_norm=1665.179443359375
Step 135: grad_norm=16.943553924560547, loss=3.96132230758667, param_norm=1665.179443359375
Step 136: grad_norm=15.506107330322266, loss=3.764941692352295, param_norm=1665.179443359375
Step 137: grad_norm=10.16810131072998, loss=3.8555691242218018, param_norm=1665.1795654296875
Step 138: grad_norm=13.917481422424316, loss=4.175932884216309, param_norm=1665.1795654296875
Step 139: grad_norm=6.945682525634766, loss=3.822234630584717, param_norm=1665.1795654296875
Step 140: grad_norm=8.578241348266602, loss=3.9356184005737305, param_norm=1665.1795654296875
Step 141: grad_norm=13.099798202514648, loss=3.959273338317871, param_norm=1665.1795654296875
Step 142: grad_norm=12.853185653686523, loss=3.92268443107605, param_norm=1665.1795654296875
Step 143: grad_norm=7.81045389175415, loss=3.8809123039245605, param_norm=1665.1796875
Step 144: grad_norm=10.898712158203125, loss=3.670435905456543, param_norm=1665.1796875
Step 145: grad_norm=9.05316162109375, loss=3.7529563903808594, param_norm=1665.1798095703125
Step 146: grad_norm=9.465788841247559, loss=4.07130765914917, param_norm=1665.1798095703125
Step 147: grad_norm=7.276480674743652, loss=3.8850290775299072, param_norm=1665.1798095703125
Step 148: grad_norm=10.354743957519531, loss=3.6937708854675293, param_norm=1665.1800537109375
Step 149: grad_norm=10.91769790649414, loss=3.8412466049194336, param_norm=1665.1800537109375
Step 150: grad_norm=11.259017944335938, loss=3.934016227722168, param_norm=1665.1800537109375
Step 151: grad_norm=12.368568420410156, loss=3.852273464202881, param_norm=1665.18017578125
Step 152: grad_norm=9.108543395996094, loss=3.8015713691711426, param_norm=1665.18017578125
Step 153: grad_norm=12.822360038757324, loss=3.778653860092163, param_norm=1665.18017578125
Step 154: grad_norm=7.137477397918701, loss=3.869518756866455, param_norm=1665.18017578125
Step 155: grad_norm=14.444958686828613, loss=3.6060891151428223, param_norm=1665.18017578125
Step 156: grad_norm=13.957049369812012, loss=3.61959171295166, param_norm=1665.1802978515625
Step 157: grad_norm=11.875419616699219, loss=3.7339015007019043, param_norm=1665.180419921875
Step 158: grad_norm=6.566831588745117, loss=3.845552444458008, param_norm=1665.180419921875
Step 159: grad_norm=6.408823490142822, loss=3.764692783355713, param_norm=1665.180419921875
Step 160: grad_norm=6.313940525054932, loss=3.616149425506592, param_norm=1665.1805419921875
Step 161: grad_norm=7.673580169677734, loss=3.5177953243255615, param_norm=1665.1805419921875
Step 162: grad_norm=14.029519081115723, loss=3.5567827224731445, param_norm=1665.1806640625
Step 163: grad_norm=9.624424934387207, loss=3.942578077316284, param_norm=1665.1807861328125
Step 164: grad_norm=9.590392112731934, loss=3.5504398345947266, param_norm=1665.1807861328125
Step 165: grad_norm=11.79458999633789, loss=3.563157081604004, param_norm=1665.180908203125
Step 166: grad_norm=14.637965202331543, loss=3.6137595176696777, param_norm=1665.1810302734375
Step 167: grad_norm=9.05009937286377, loss=3.701077699661255, param_norm=1665.1810302734375
Step 168: grad_norm=13.51108169555664, loss=3.652958631515503, param_norm=1665.1810302734375
Step 169: grad_norm=7.338022708892822, loss=3.6252241134643555, param_norm=1665.18115234375
Step 170: grad_norm=7.744429588317871, loss=3.5524842739105225, param_norm=1665.1812744140625
Step 171: grad_norm=12.122184753417969, loss=3.560908555984497, param_norm=1665.1812744140625
Step 172: grad_norm=8.563289642333984, loss=3.698606491088867, param_norm=1665.181396484375
Step 173: grad_norm=7.387485980987549, loss=3.569035053253174, param_norm=1665.1815185546875
Step 174: grad_norm=7.332544326782227, loss=3.72650408744812, param_norm=1665.1815185546875
Step 175: grad_norm=6.774569511413574, loss=3.6521286964416504, param_norm=1665.181640625
Step 176: grad_norm=10.677850723266602, loss=3.595097541809082, param_norm=1665.1817626953125
Step 177: grad_norm=7.03695011138916, loss=3.8169946670532227, param_norm=1665.181884765625
Step 178: grad_norm=11.132373809814453, loss=3.8536999225616455, param_norm=1665.1820068359375
Step 179: grad_norm=12.041399002075195, loss=3.5455756187438965, param_norm=1665.1820068359375
Step 180: grad_norm=11.438167572021484, loss=3.7422261238098145, param_norm=1665.18212890625
Step 181: grad_norm=7.211920738220215, loss=3.5432090759277344, param_norm=1665.1822509765625
Step 182: grad_norm=17.263713836669922, loss=3.8781089782714844, param_norm=1665.182373046875
Step 183: grad_norm=9.26053524017334, loss=3.7491884231567383, param_norm=1665.1824951171875
Step 184: grad_norm=11.177190780639648, loss=3.7964956760406494, param_norm=1665.1824951171875
Step 185: grad_norm=7.550751686096191, loss=3.5319743156433105, param_norm=1665.1827392578125
Step 186: grad_norm=6.473128795623779, loss=3.5567190647125244, param_norm=1665.1827392578125
Step 187: grad_norm=10.823481559753418, loss=3.8189356327056885, param_norm=1665.182861328125
